Subject,Object
Argentina,аргентинцы
Argentina,аргентинці
Argentina,արգենտինացի
Argentina,ארגנטינאי
Argentina,ארגנטינאית
Argentina,أرجنتيني
Argentina,أرجنتينية
Argentina,أرجنتينيون
Argentina,أرجونتيني
Argentina,أرجونتينيات
Argentina,أرجونتينية
Argentina,أرجونتينيين
Argentina,আর্জেন্টিনীয়
Asmara,asmarini
Asmara,Asmaréen
Asmara,Asmaréenne
Asmara,Asmerano
Asmara,Ασμαρινός
Atlanta,Atlantais
Atlanta,Atlantaise
Atlanta,Atlantani
Australia,Astrálach
Australia,Aussie
Australia,Aussies
Australia,Australan
Australia,Australanka
Australia,Australian
Australia,australiana
Australia,australiancă
Australia,australiane
Australia,australiani
Australia,Australiano
Australia,Australians
Australia,australianu
Australia,Australien
Australia,australieni
Australia,Australienne
Australia,australier
Australia,Australierin
Australia,australisk
Australia,Australiër
Australia,ausztrál
Australia,Avstralec
Australia,Avstralka
Australia,Awstraliad
Australia,aŭstraliano
Australia,Laustralänan
Australia,Αυστραλή
Australia,Αυστραλός
Australia,австралиец
Australia,австралийка
Australia,австралийска
Australia,австралийски
Australia,австралийцы
Australia,австралійка
Australia,австралійці
Australia,австралієць
Australia,аўстраліец
Australia,аўстралійка
Australia,аўстралійцы
Australia,אוסטרלי
Australia,אוסטרלית
Australia,أسترالي
Australia,أسترالية
Australia,أستراليون
Australia,ؤسطرالي
Australia,ؤسطراليات
Australia,ؤسطرالية
Australia,ؤسطراليين
Australia,অস্ট্রেলীয়
Austria,austerrikar
Austria,austriac
Austria,austriaca
Austria,austriache
Austria,austriaci
Austria,austriaco
Austria,austriacu
Austria,austriacă
Austria,Austrian
Austria,Austriano
Austria,austrieci
Austria,austrìaga
Austria,austrìaghe
Austria,austrìaghi
Austria,austrìago
Austria,Autrichien
Austria,Autrichienne
Austria,Aŭstrio
Austria,Lösteränan
Austria,Oostenrijker
Austria,Ostarach
Austria,osteraices
Austria,osztrák
Austria,Österreicher
Austria,Österreicherin
Austria,Österreicherinnen
Austria,österrikare
Austria,østriger
Austria,австриец
Austria,австрийка
Austria,австрийцы
Austria,австрійка
Austria,австрійці
Austria,австріяка
Austria,австріяки
Austria,австріячка
Austria,австрієць
Austria,אוסטרי
Austria,אוסטרית
Austria,ؤطريشي
Austria,ؤطريشيات
Austria,ؤطريشية
Austria,ؤطريشين
Austria,نمساوي
Austria,نمساوية
Austria,نمساويون
Austria,অস্ট্রীয়
Bages,bagenc
Bages,bagenca
Bages,bagencs
Bages,bagenques
Baix Camp,del Baix Camp
Baix Llobregat,del Baix Llobregat
Baix Penedès,penedesenc
Baix Penedès,penedesenca
Baix Penedès,penedesencs
Baix Penedès,penedesenques
Bangladesh,Bangladejänan
Bangladesh,Bangladeshano
Bangladesh,bangladesher
Bangladesh,Bangladeshi
Bangladesh,bangladesi
Bangladesh,bengalese
Bangladesh,bengalesi
Bangladesh,бангладешец
Bangladesh,бангладешцы
Bangladesh,בנגלי
Bangladesh,בנגלית
Bangladesh,بنغاليون
Bangladesh,بنغلاديشي
Bangladesh,بنغلاديشية
Bangladesh,বাংলাদেশী
Botswana,Batswana
Burkina Faso,Burkinabe
Burkina Faso,Burkinabé
Canada,Canadian
Central African Republic,Central African
Czech Republic,Czech
Democratic Republic of the Congo,Congolese
Egypt,Egyptian
Florida,Floridian
Kingdom of Iraq,Iraqi
Kingdom of Italy,Italian
Lesotho,Basotho
Maine,Mainer
Malawi,Malawian
Massachusetts,Bay Stater
Mexico,Mexican
New Hampshire,New Hampshireman
Niger,Nigerien
Nigeria,Nigerian
Pridnestrovie,Pridnestrovian
Sahrawi Arab Democratic Republic,Sahrawi
State of Palestine,Palestinian
Tunisia,Tunisian
Turkey,Turkish
Uganda,Ugandan
United Kingdom of Great Britain and Ireland,British
Zambia,Zambian
Zimbabwe,Zimbabwean
